Диалоги,Ссылки
"Разговаривая с персонажами, игрок знакомится с миром и получает информацию, важную для понимания сюжета. Он знакомится с персонажами и развивает с ними отношения, прямо или косвенно влияет на игровой мир.",https://synergy.ru/akademiya/gejmdev/kak_pridumat_unikalnyij_syuzhet_dlya_igryi_poshagovaya_instrukcziya?ysclid=manyr6c3le680705379
"Разговоры реализуются двумя способами: разговоры персонажей при игроке (Ключевые диалоги, связанные с важными моментами сюжета, лучше показывать в виде кат-сцен. Это короткие видеоролики, которые прерывают игровой процесс. Бытовые диалоги происходят во время игры. Фоновые беседы погружают в атмосферу, мотивируют изучать мир и дают подсказки, важные для понимания сюжета) и диалог игрока и персонажа (Такие беседы дают много информации и направляют игроков по сценарию. Игрок может расспрашивать персонажей о их жизни и событиях в мире, брать и выполнять квесты, мотивировать героев на действия. Механику обычно реализуют в виде диалогового окна. Игрок читает реплики собеседника и выбирает свои варианты ответа.)",https://synergy.ru/akademiya/gejmdev/kak_pridumat_unikalnyij_syuzhet_dlya_igryi_poshagovaya_instrukcziya?ysclid=manyr6c3le680705379
"В разговорах с персонажами в визуальных новеллах игрок принимает решения, которые влияют на игровой мир. Диалоговые окна могут быть важной частью геймплея. ",https://synergy.ru/akademiya/gejmdev/kak_pridumat_unikalnyij_syuzhet_dlya_igryi_poshagovaya_instrukcziya?ysclid=manyr6c3le680705379
"Типы диалогов: Диалоги отличаются по степени интерактивности:
1. Линейные. (Игрок слушает других персонажей или беседу с участием главного героя. Он не может выбирать реплики и влиять на сюжет.)
2. Экспозиционные. (Игрок выбирает тему, которую он хочет обсудить с другим персонажем. Сценарий разговора внутри активной ветки остается линейным.)
3. Разветвленные. (Игрок активно влияет на развитие диалога и результат беседы. Он может выбирать из вариантов ответа и отыгрывать разные характеры. Беседа может ветвиться, а фразы могут повторяться. От игрока зависит история мира и даже геймплей.)",https://synergy.ru/akademiya/gejmdev/kak_pridumat_unikalnyij_syuzhet_dlya_igryi_poshagovaya_instrukcziya?ysclid=manyr6c3le680705379
"Игровой диалог — это мини-сценарий, у которого есть завязка, развитие сюжета и конец. Беседа начинается с приветствия. Реакция на героя может зависеть от его пола, расы, статуса, профессии и репутации. Беседы заканчиваются прощанием. Придумайте финальные реплики, чтобы персонажи казались живыми, а не функциями.",https://synergy.ru/akademiya/gejmdev/kak_pridumat_unikalnyij_syuzhet_dlya_igryi_poshagovaya_instrukcziya?ysclid=manyr6c3le680705379
"Спрячьте в репликах собеседника подсказки, как продвигаться по сюжету.",https://synergy.ru/akademiya/gejmdev/kak_sozdat_zaxvatyivayushhie_dialogi_v_igrax_polnyij_gid?ysclid=manyyyqsnu597912444
"Слова и манера речи отражают характер и биографию того, кто говорит. Реплики раскрывают собеседников и передают эмоции. Сценарии погружают в атмосферу и заставляют сочувствовать героям.",https://synergy.ru/akademiya/gejmdev/kak_sozdat_zaxvatyivayushhie_dialogi_v_igrax_polnyij_gid?ysclid=manyyyqsnu597912444
"Речь персонажа должна отражать эпоху, биографию и социальный статус героя. ",https://synergy.ru/akademiya/gejmdev/kak_sozdat_zaxvatyivayushhie_dialogi_v_igrax_polnyij_gid?ysclid=manyyyqsnu597912444
Не должно быть однозначно хороших и простых решений. Главного героя нельзя назвать однозначно хорошим или плохим персонажем: он часто вынужден принимать неоднозначные решения.,https://synergy.ru/akademiya/gejmdev/kak_sozdat_zaxvatyivayushhie_dialogi_v_igrax_polnyij_gid?ysclid=manyyyqsnu597912444
"У диалога должна быть цель. Диалог характеризуют острота и концентрированность действия, для которых требуются, во-первых, сильные цели (убедить, очаровать, спровоцировать действие), а во-вторых, ощутимые усилия по реализации этих самых целей (от банальной имитации доброжелательности до физических пыток).",https://dtf.ru/gamedev/106250-dialogi-v-igrah-chetyre-poleznyh-principa?ysclid=manxg2edys719437375
"Диалог в самом общем виде имеет классическую структуру: завязка, развитие, кульминация, развязка.
",https://dtf.ru/gamedev/106250-dialogi-v-igrah-chetyre-poleznyh-principa?ysclid=manxg2edys719437375
